CN_Code,CAS_Number,CUS,EC_Number,UN_Number,Nomen,Name
11082000,9005-80-5,0018898-7,232-684-3,,COMMON,inulin
12113000,0-00-0,0130477-4,,,COMMON,coca leaf
12114000,0-00-0,0130505-1,,,COMMON,poppy straw
12119086,0-00-0,0130473-0,,,COMMON,cannabis
12119086,0-00-0,0130503-9,,,COMMON,papaver bracteatum
13019000,0-00-0,0130476-3,,,COMMON,cannabis resin
13021100,0-00-0,0130498-9,,,COMMON,concentrate of poppy straw
13021100,0-00-0,0130502-8,,,COMMON,opium
13021100,8008-60-4,0145826-0,,,COMMON,mixed alkaloids of opium
13021970,84787-72-4,0114539-7,,,COMMON,"Sassafras albidum, ext."
13021970,85480-50-8,0115443-4,,,COMMON,"vaccinium uliginosum, ext."
13021970,0-00-0,0130474-1,,,COMMON,cannabis extracts and tinctures
13021970,8016-24-8,0130475-2,,,COMMON,cannabis oil
13023290,39421-75-5,0046488-0,,,INN,guaraprolose
15050090,8027-33-6,0113618-1,232-430-1,,COMMON,"alcohols, lanolin"
15121199,8001-23-8,0146057-7,232-276-5,,COMMON,"safflower oil, crude"
15121910,8001-23-8,0113517-7,,,COMMON,refined safflower oil (CAS RN 8001-23-8) for use in the manufacture of — conjugated linoleic acid of heading 3823 or — ethyl- or methyl esters of linoleic acid of heading 2916
15121990,8001-23-8,0146058-8,232-276-5,,COMMON,"safflower oil, other than crude"
15162010,8001-78-3,0046305-8,,,COMMON,"castor oil, hydrogenated"
15180010,68649-95-6,0026871-3,272-038-8,,IUPAC,linoxyn
15180099,91722-14-4,0120161-2,,,COMMON,"soybean oil, epoxidized, acrylate"
15200000,56-81-5,0026891-7,200-289-5,,COMMON,"glycerol, crude"
17019910,57-50-1,0023744-5,,,COMMON,"sucrose, pure"
17021100,63-42-3,0019064-7,,,COMMON,"lactose, containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter"
17021900,63-42-3,0025478-4,,,COMMON,"lactose, other"
17023050,921-60-8,0052084-3,,,INN,levoglucose
17025000,57-48-7,0017840-5,,,COMMON,"fructose, pure"
17026095,57-48-7,0025507-2,,,COMMON,"fructose, impure"
17029010,69-79-4,0019468-3,,,COMMON,"maltose, pure"
17029010,6363-53-7,0038425-8,613-294-6,,IUPAC,4-O-α-D-glucopyranosyl-D-glucose hydrate
17029095,528-50-7,0025428-4,,,COMMON,"D-cellobiose, crude"
17029095,59-23-4,0025528-7,,,COMMON,"galactose, impure"
17029095,69-79-4,0025541-4,,,COMMON,"maltose, impure"
17029095,585-99-9,0025543-6,,,COMMON,"melibiose, impure"
17029095,3458-28-4,0025544-7,,,COMMON,"mannose, impure"
17029095,512-69-6,0025812-8,,,COMMON,"raffinose, impure"
17029095,3615-41-6,0025814-0,,,COMMON,"rhamnose, impure"
17029095,50-69-1,0025816-2,,,COMMON,"ribose, impure"
17029095,87-79-6,0026241-9,,,COMMON,"sorbose, impure"
17029095,58-86-6,0026260-2,,,IUPAC,"xylose, impure"
22071000,64-17-5,0016956-2,200-578-6,1170,IUPAC,ethanol
23070090,8007-14-5,0011274-3,,,COMMON,argol
25010099,7647-14-5,0023148-1,231-598-3,,IUPAC,sodium chloride
25041000,7782-42-5,0132005-4,,,CI,C.I. Pigment Black 10
25049000,7782-42-5,0132006-5,,,CI,C.I. Pigment Black 10
25061000,14808-60-7,0066824-6,238-878-4,,COMMON,quartz
25030010,7704-34-9,0023801-7,,,COMMON,"sulfur, other than precipitated, sublimed or colloidal"
25111000,7727-43-7,0011479-4,,,COMMON,"barium sulfate, natural"
25112000,513-77-9,0011397-3,,1564,COMMON,"barium carbonate, natural"
25112000,1304-28-5,0011455-6,,1884,COMMON,"barium oxide, obtained by calcining witherite"
25199010,1309-48-4,0019409-2,215-171-9,,IUPAC,magnesium oxide
25191000,13717-00-5,0039652-1,,,COMMON,"magnesium carbonate, natural"
25201000,7778-18-9,0012921-5,,,COMMON,"calcium sulfate, natural"
25222000,1305-62-0,0012843-8,,,COMMON,"calcium hydroxide, obtained from the product of calcining natural materials"
25221000,308068-12-4,0012880-3,,,COMMON,"calcium oxide, obtained by calcining natural materials"
25232900,68475-76-3,0133891-6,270-659-9,,COMMON,"flue dust, portland cement"
25241000,12001-28-4,0023648-6,601-649-8,2212,COMMON,"asbestos, crocidolite"
25261000,14807-96-6,0146018-0,238-877-9,,COMMON,"talc, not crushed, not powdered"
25249000,77536-67-5,0023672-6,616-472-1,2590,COMMON,"asbestos, anthophyllite"
25249000,77536-66-4,0023696-4,616-471-6,2590,COMMON,"asbestos, actinolite"
25249000,77536-68-6,0023706-9,616-473-7,,COMMON,"asbestos, tremolite"
25249000,12172-73-5,0023743-4,601-801-3,2212,COMMON,"asbestos, amosite"
25249000,12001-29-5,0045284-6,601-650-3,2590,COMMON,chrysotile
25249000,132207-32-0,0045288-0,,,COMMON,"asbestos, chrysotile"
25249000,17068-78-9,0125948-9,,,COMMON,anthophyllite
25262000,14807-96-6,0044907-0,238-877-9,,COMMON,"talc, crushed or powdered"
25280000,10043-35-3,0011997-1,,,COMMON,"boric acid, crude natural, containing not more than 85 per cent of H3BO3 calculated on the dry weight"
25309000,7784-30-7,0010456-3,232-056-9,1760,COMMON,"aluminium orthophosphate, natural"
25309000,12612-21-4,0011285-6,215-117-4,,COMMON,"arsenic sulfides, natural"
25309000,,0019006-7,,,COMMON,"iron oxides, micaceous"
25309000,,0025503-8,,,COMMON,"earth colours, containing less than 70 per cent by weight of combined iron evaluated as Fe2O3"
25309000,1313-13-9,0025550-5,,,COMMON,"manganese dioxide, mineral of Chapter 25"
25309000,15096-52-3,0029947-8,,,COMMON,"cryolite, natural"
25309000,1339-82-8,0044882-8,,1361,CI,C.I. Pigment Black 8
25309000,14940-68-2,0066922-7,239-019-6,,IUPAC,zirconium(4+) orthosilicate
25309000,64294-91-3,0131971-7,,,CI,C.I. Pigment Yellow 43
25309000,12227-89-3,0131981-9,,,CI,C.I. Pigment Black 11
25309000,1345-27-3,0131993-3,,,CI,C.I. Pigment Brown 7
25309000,52357-70-7,0131997-7,,,CI,C.I. Pigment Brown 6
26020000,1313-13-9,0019475-2,,,COMMON,"manganese dioxide, ore of Chapter 26"
26060000,92797-42-7,0121992-7,,,COMMON,"bauxite, calcined"
26131000,86089-09-0,0133921-5,289-178-0,,COMMON,"molybdenum sulfide (MoS2), roasted"
26151000,14940-68-2,0134139-5,239-019-6,,IUPAC,zirconium(4+) orthosilicate
26161000,98072-52-7,0133911-3,308-506-6,,COMMON,"matte, precious metal"
26169000,98072-52-7,0125433-7,308-506-6,,COMMON,"matte, precious metal"
26171000,1345-04-6,0011243-6,,,COMMON,"diantimony trisulfide, natural"
26179000,1344-48-5,0019661-2,,,COMMON,"mercury sulfide, natural"
26201900,69012-24-4,0133887-0,273-723-4,,COMMON,"wastewater, zinc sulfate electrolytic, acid"
26202900,84195-61-9,0113957-7,282-366-3,,COMMON,"speiss, lead"
26202900,69012-43-7,0133888-1,273-742-8,,COMMON,"slimes and sludges, zinc sulfate electrolytic"
26202900,94551-99-2,0133890-5,305-445-7,,COMMON,"wastes, lead battery reprocessing"
26203000,69012-54-0,0133889-2,273-752-2,,COMMON,"electrolytes, copper-manufg., spent"
26209100,69012-21-1,0133886-9,273-721-3,,COMMON,"wastewater, cadmium sulfate electrolytic, acid"
27040010,100084-95-5,0108954-9,309-133-1,,COMMON,"coal, degassed, thermal"
27040010,100684-51-3,0109362-5,309-726-5,,COMMON,"tar, coal, high-temp., residues"
27040010,65996-77-2,0110463-8,266-010-4,,COMMON,coke (coal)
27040010,68409-95-0,0111124-6,270-070-7,,COMMON,"coke (coal), semi-"
27050000,65996-81-8,0110467-2,266-015-1,,COMMON,"fuel gases, coke-oven"
27050000,68308-27-0,0110996-2,269-640-8,,COMMON,"fuel gases, refinery"
27050000,68476-26-6,0111425-6,270-667-2,,COMMON,"fuel gases, other than petroleum gas"
27050000,68477-64-5,0111495-0,270-745-6,,COMMON,"gases (petroleum), acetylene manuf. off"
27050000,68989-88-8,0112876-3,273-563-5,,COMMON,"gases (petroleum), crude distn. and catalytic cracking"
27050000,68783-07-3,0140127-0,272-183-7,,COMMON,"gases (petroleum), refinery blend"
27060000,101316-84-1,0109482-2,309-886-6,,COMMON,"tar, brown-coal, low-temp."
27060000,65996-89-6,0110474-1,266-024-0,,COMMON,"tar, coal, high-temp."
27060000,65996-92-1,0110476-3,266-027-7,,COMMON,distillates (coal tar)
27060000,91082-50-7,0119699-2,293-764-1,,COMMON,"tar, coal, storage residues"
27050000,101316-64-7,0147301-4,309-869-3,,COMMON,"gases (petroleum), acid, steam cracker diethanolamine scrubber"
27060000,94114-47-3,0123400-0,302-682-8,,COMMON,"coal liquids, liq. solvent extn. soln."
27060000,94114-48-4,0123401-1,302-683-3,,COMMON,"coal liquids, liq. solvent extn."
27071000,71-43-2,0025490-0,200-753-7,,COMMON,"benzene, crude"
27071000,101316-63-6,0109466-2,309-868-8,,COMMON,"extract residues (coal tar), benzole fraction alk., acid ext., benzole predominant"
27071000,140362-56-7,0109931-6,310-247-9,,COMMON,"extract residues (coal tar), high-temperature, benzole fraction alkaline, acid extract, benzol (benzene) predominant"
27071000,65996-78-3,0110464-9,266-012-5,,COMMON,"light oil (coal), coke-oven"
27071000,68955-29-3,0112763-5,273-266-0,,COMMON,"distillates (petroleum), light thermal cracked, debutanized arom., if more than 50% and less than 95% of aromatics"
27071000,84650-02-2,0114263-8,283-482-7,,COMMON,"distillates (coal tar), benzole fraction"
27071000,121620-46-0,0146405-7,310-165-3,,COMMON,"distillates (coal tar), benzole fraction, distn. residues, benzole predominant"
27071000,101316-68-1,0147302-5,309-873-5,,COMMON,"kerosine (petroleum), catalytic reformed, C8-15-alkylbenzene fraction"
27071000,140203-16-3,0147335-4,310-225-9,,COMMON,"distillates (coal tar), gasification, benzole fraction"
27072000,108-88-3,0026257-7,203-625-9,,COMMON,"toluene, crude"
27072000,68527-23-1,0111820-3,271-264-4,,COMMON,"naphtha (petroleum), light steam-cracked arom."
27072000,140362-56-7,0147339-8,310-247-9,,COMMON,"extract residues (coal tar), high-temperature, benzole fraction alkaline, acid extract, toluol (toluene) predominant"
27073000,1330-20-7,0026258-8,,,COMMON,"xylene, crude"
27073000,85536-20-5,0115497-8,287-502-5,,COMMON,"solvent naphtha (coal), xylene-styrene cut"
27073000,90989-38-1,0118749-1,292-694-9,,COMMON,"aromatic hydrocarbons, C8, containing less than 95 % of xylene isomers"
27073000,90989-41-6,0118751-5,292-697-5,,COMMON,"aromatic hydrocarbons, C6-10, C8-rich"
27073000,68650-36-2,0140869-1,,,COMMON,"aromatic hydrocarbons, C8, o-xylene-lean"
27073000,140362-56-7,0147340-1,310-247-9,,COMMON,"extract residues (coal tar), high-temperature, benzole fraction alkaline, acid extract, xylol (xylenes) predominant"
27074000,91-20-3,0025624-6,,1334,COMMON,"naphthalene, crude"
27074000,84650-04-4,0045312-3,283-484-8,,COMMON,"distillates (coal tar), naphthalene oils, containing 50% or more of naphthalene"
27074000,121620-46-0,0109715-0,310-165-3,,COMMON,"distillates (coal tar), benzole fraction, distn. residues, naphthalene predominant"
27074000,121620-47-1,0109716-1,310-166-9,,COMMON,"extract residues (coal), naphthalene oil, alk."
